Year,Site,Lat,Lon,MEANsst,SDsst,MEANsst_old,MAXsst_old,MINsst_old,SDsst_old,ANOMALYsst,MEANchla_2023,SDchla_2023,MEANchla,MAXchla_old,MINchla_old,SDchla_old,Abundance,pcConn
2010,AmboInner,-12.37121667,49.44038333,26.92586279,1.437626898,26.92586279,29.27571869,24.75171661,1.437626898,,0.322178006,0.017196841,0.31,0.353998,0.239896,0.031881761,19,4.393867552
2010,AmboOuter,-12.3518,49.46475,26.8436257,1.430119137,26.8436257,29.18248558,24.57026863,1.430119137,,0.322178006,0.017196841,0.32,0.356362,0.246292,0.03032149,68,2.613139455
2010,AmboS,-12.35865,49.46141667,26.8436257,1.430119137,26.8436257,29.18248558,24.57026863,1.430119137,0.5,0.42117829,0.152917676,0.32,0.359614,0.249395,0.030854094,128,2.613139455
2010,AnkaoNE,-12.76676667,49.82216667,26.76733242,1.614271242,26.76733242,29.42489433,24.2690506,1.614271242,,0.907845807,0.422577943,0.59,0.695428,0.459609,0.065705819,82,2.586797324
2010,AnkaoNNE,-12.79138333,49.81213333,27.45230917,1.96895019,26.76733242,29.42489433,24.2690506,1.614271242,,0.907845807,0.422577943,0.64,0.730736,0.521097,0.065474568,110,2.570992045
2010,AnkaS,-12.82741667,49.81188333,27.45230917,1.96895019,27.45230917,31.3727684,24.74669647,1.96895019,0.7,,,0.68,0.765127,0.579369,0.060533027,167,2.481428797
2010,Chin,-11.9356,43.48603333,27.7633913,1.736009699,27.7633913,30.65701675,25.71417809,1.736009699,0.5,0.161936169,0.013341703,0.17,0.214534,0.098327,0.033600507,98,57.99483694
2009,Chumb,-6.279933333,39.17395,28.11776447,1.406032169,28.11776447,30.00007629,25.9730835,1.406032169,,0.296753729,0.077244925,,0.419362,0.242793,0.054242493,75,22.12739055
2011,Dindini,-7.91805,39.82726667,29.27500153,,27.90326627,30.29914093,25.8561821,1.403282305,0.6,0.123626716,0.036783861,,0.980203,0.402504,0.190900654,51,73.52088931
2010,Feren,-12.4063,43.69545,28.34983365,1.761506287,28.34983365,30.89727402,26.1968441,1.761506287,0.6,,,0.31,0.431382,0.221797,0.056373257,88,56.49333544
2011,FernauVloso,-14.46953333,40.68065,,,,,,,0.3,,,,0.676906,0.351244,0.10633149,66,18.63969232
2010,Itsan,-11.66951667,43.26335,,,,,,,,,,,0.177724,0.074988,0.035048645,172,59.27506454
2011,Kifinge,-7.84965,39.8632,27.82037179,1.347175363,27.82037179,29.733284,26.01324463,1.347175363,0.6,0.084968001,,0.18,0.381753,0.165871,0.06088619,76,74.14256362
2011,Kitutia,-8.131683333,39.6456,27.9121116,1.302228639,27.9121116,29.63287735,25.89490891,1.302228639,0.6,0.276318455,0.103495797,0.46,0.464631,0.305312,0.053361786,130,72.35129867
2014,Kiwe,-11.11665,40.62633333,27.8620882,1.269732143,27.69372892,29.35963058,25.83036232,1.24607734,0.5,1.411770918,0.405853939,0.74,0.827276,0.65729,0.049316297,49,20.58374164
2015,Kiwe,-11.11665,40.62633333,27.83268372,1.218202454,27.771125,29.23770905,26.17461205,1.076587725,0.7,1.24718083,0.275409468,0.66,0.827276,0.65729,0.049316297,82,13.69790843
2015,Lalane,-11.14911902,40.54054404,28.0086333,1.300464999,28.0086333,29.8559227,26.17317772,1.300464999,0.8,1.654311114,0.347904748,,2.462489,1.591522,0.27681539,12,12.39660713
2010,LokyNW,-12.72423333,49.66738333,27.02907769,1.562144123,26.92879121,29.32305336,24.48062134,1.588313606,0.5,,,0.6,0.744064,0.3707,0.106169399,97,1.97565987
2010,LokyS,-12.73046667,49.69643333,27.02907769,1.562144123,27.02907769,29.45716667,24.69075584,1.562144123,,0.552186668,0.127471295,0.56,0.679298,0.305793,0.109011886,159,1.907170328
2010,MakungN,-11.09873333,40.72708333,27.94701497,1.601561462,27.94701497,30.03521729,25.54994392,1.601561462,0.7,0.225371271,0.052698543,,0.385632,0.238498,0.044423267,65,69.78557505
2010,Male,-11.86995,43.49945,28.53205824,2.080648637,28.31516949,31.53987122,25.9924469,1.942327473,0.5,,,0.17,0.220579,0.09852,0.032718053,105,58.02117907
2015,Malinde-Kiwe,-11.30974604,40.52603798,28.38228639,1.490237278,28.18344657,30.00796509,26.19756126,1.375204892,0.8,1.916800987,0.194565506,1.22,1.772485,1.071309,0.179563943,23,12.08576998
2011,Mange,-8.056833333,39.60428333,27.75743914,1.28861166,27.75743914,29.85663986,25.86765671,1.28861166,0.6,0.620505098,0.373464431,0.58,0.714769,0.364287,0.113936444,163,72.21958801
2010,Metundflat,-11.12465,40.67598333,27.78666353,1.552713635,27.8950785,29.89823532,25.33048439,1.539817996,0.7,0.21039873,0.052739089,,0.6186,0.503909,0.035302523,169,69.88567515
